CC_CARD	FREDAYS	WEB	Sales per Visit
1	135.25	0	111.1475
1	54.8	0	40.769
1	31.05	1	129.036
0	230.66	0	46.656667
0	103	0	37.294
0	64.55	0	64.943333
1	55.5	0	237.7575
1	46.28	0	44.187857
0	268	0	180.45
1	347	0	80.08
0	68.33	0	122.841111
1	63	0	36.699091
0	303.5	0	126.99
1	69.9	0	45.31
1	45.53	0	83.336923
1	107	0	272.69
1	42.33	0	3.306667
0	98	0	94
1	164	0	151.6975
1	66	0	176.28
0	87.8	0	42.098
1	29.42	0	99.705263
1	107.33	0	113.78
1	46.26	0	69.188
1	36	0	68.26
1	29.52	0	59.831905
1	15.2	0	163.950889
0	225	0	153.966667
1	34.88	1	165.690588
0	110.33	0	129.41
0	229	0	124.44
1	72.2	0	86.154
0	224.66	0	63.313333
0	48	0	47.006923
0	340	0	78
1	70.71	0	98.705714
1	131.8	0	95.392
0	218.66	0	213.33
0	232.33	0	31.963333
1	87.12	0	58.43875
1	91.28	1	23.852857
1	55.9	0	75.294
0	51.14	0	18.565714
1	77.22	0	176.262222
0	84	0	82.901429
0	345	0	158
1	21.12	0	387.697576
1	25.66	1	53.910741
0	58.85	0	25.425714
1	106.33	0	90.135
1	130	0	103.773333
0	151.33	0	65.166667
0	140.75	0	135.5
1	36.72	1	180.159444
1	100.2	0	64.292
1	106	0	40.686
1	39.18	0	102.898125
0	314	0	118.49
0	193.66	0	53.32
1	35.76	0	49.703529
1	48.27	0	67.793636
1	143.5	0	103.7425
0	333	0	99.99
0	135.4	0	85.292
0	54.5	0	133.485
1	89	0	55.5
0	470	0	108
0	133	0	82
0	237	0	83.985
1	63.45	0	103.605455
0	237	0	75.99
1	112	0	54.21
0	39	0	30.583529
0	202.33	0	78.663333
0	39.42	0	233.958571
1	100.16	0	74.996667
0	158.25	0	23.3725
0	309	0	104.99
0	682	0	206
0	565	0	183.47
1	677	0	480.46
0	195	0	129.98
0	166	0	99.99
0	313	0	168.74
0	93	0	91.14
1	56.33	1	224.443333
0	60.5	0	59.995
0	99	0	69.99
1	107.33	1	69.073333
1	152	0	250.18
1	99.57	0	54.562857
1	175.5	0	41.215
1	132	0	44.79
0	47.33	0	191.138333
1	169	0	100.7425
0	207.66	0	816.03
0	361	0	88.99
0	474	0	155.9
0	155.5	0	34.49
0	154	0	134.955
0	202.33	0	68.986667
0	194	0	344.99
1	171	1	57.05
0	336	0	64
0	147	0	5.99
1	76.75	0	33.3775
1	331	0	116.99
1	70.33	0	104.973333
1	231.66	0	45.103333
1	24.06	1	35.773103
0	144.75	0	48.55
0	76.5	0	48.508333
1	291.5	0	43.48
0	474	0	171.41
0	128	0	349.59
1	96.5	0	47.1575
0	38	0	120.99
1	72.71	0	106.622857
0	341	0	118
0	380	0	77
0	173	0	58.75
1	53.15	0	102.783846
1	22.33	0	77.19
0	341	0	118
0	77	0	137.7275
1	35.62	0	87.0275
1	110.5	0	92.985
1	96.71	0	67.631429
1	159.25	0	111.24
0	688	0	15.99
0	500	0	156
0	169.5	0	56.2775
0	243.5	0	123
1	38	0	70.007778
1	68.4	0	121.719
0	220.66	0	103.99
1	145.25	0	90.2425
1	46.85	1	136.026429
0	88.33	0	47.815
1	210.66	0	226.32
1	4	0	56
0	310	0	106.995
1	24.38	0	118.325
1	67.7	0	68.774
0	292	0	92.73
0	155.5	0	139
0	40.77	0	44.443333
0	437	0	86
1	35.45	0	118.625455
1	151	0	27.833333
1	123.75	0	62.12
0	279	0	89.48
0	47.33	0	160.603333
0	285	0	93.98
1	65.11	0	94.146667
0	296	0	359.9
1	163.33	0	44.65
0	410	0	102.46
0	691	0	69.98
1	161.25	0	124.105
0	626	0	29
1	25.26	0	60.145385
0	649	0	201.94
0	300	0	128.98
1	99.71	0	56.165714
1	27.15	0	76.800769
1	71.77	0	93.665556
1	69.33	0	94.916667
0	218.5	0	47
1	177	0	17.55
1	220	0	351.47
0	135.5	0	221.48
0	226.5	0	102.965
1	25.27	0	18.32
0	111.33	0	78.32
0	137	0	76.9975
0	170.5	0	79.37
0	144	0	270
0	88.33	0	137
0	179	0	69
0	210	0	61.25
0	278	0	91
0	101.66	0	47.326667
1	43.57	0	140.861429
0	36	0	68.95
0	44.71	0	45.707143
0	325	0	358
0	361	0	98
1	28.5	0	46.479167
0	241	0	261
0	89.5	0	48.54
0	146.75	0	159.745
1	27	1	41.085789
0	116	0	49.326667
0	214	0	78
1	58.5	0	184.147
0	58.6	0	93.344
0	244	0	97.98
0	201	0	34
0	254.5	0	211.25
0	122.6	0	85.086
1	79.83	0	92.738333
1	139.4	0	69.89
0	241	0	80.97
0	269	0	51.5
0	304	0	139.5
0	148.5	0	58
0	136.5	0	139.97
1	141.66	0	172.2
0	145.5	0	241.49
1	283.5	0	66
1	356	0	94.5
0	293	0	105.5
1	37.4	0	99.513
0	145.25	1	85.4475
0	361	0	73
0	123.25	0	83.0225
1	474	1	158
0	138.2	0	16.194
0	159.5	0	84.7375
1	234	0	103.773333
1	337	0	194.985
0	36	0	77.98
0	130	0	65.786
1	343	1	357.995
1	36.47	0	57.230526
1	53.71	0	123.158571
1	678	0	323
1	229	0	157.396667
0	99.33	0	228.663333
1	20	0	67.68
0	640	0	156
0	85.66	0	52.325
0	143.5	0	51.99
0	269	0	90.48
0	131.75	0	65.0325
0	369	0	106.99
1	218.33	0	198.306667
0	129.75	0	120.09
0	147	0	413.99
1	530	0	414
0	78.5	0	18.865
0	169.75	0	65.4975
0	44.4	0	156.294
0	120	0	39
0	124.5	0	162.73
1	99	0	53.85
0	41	0	198.7
1	32.85	0	89.602857
0	21.67	0	46.830714
1	157.66	0	233.603333
1	50.38	0	58.371538
0	75.25	0	37.8275
0	334	0	158
0	341	0	93
1	85.16	0	126.438333
0	104	0	69.99
1	308.5	0	111
0	230	0	39
1	316	0	61.495
0	85.33	0	52.45
0	687	0	69.98
1	261	0	90.99
0	261	0	197.17
1	221	0	51.57
0	158.66	0	40.313333
0	324	0	198
1	44.42	0	124.34
0	21	0	126
0	138	0	140.466
1	148.5	0	90.295
0	139	0	27.66
1	180	0	43
1	248	0	51.99
1	86.62	0	81.665
0	23.75	0	70.3625
1	136.8	0	38.392
0	66.85	0	18.725714
0	516	0	97.96
0	266	0	137.98
1	50	0	171.88
0	299	0	89.49
1	303	0	155.03
0	120	0	200
0	24.33	0	111.853333
1	481	0	192.2
1	345.5	0	183.135
0	300	0	68.5
0	53.5	0	66.995
0	339	0	98.98
0	498	0	62.97
0	133	0	51.31
1	75.62	0	91.5225
0	82	0	153.323333
0	86.37	0	164.60375
1	243	0	123.98
0	187	0	99.99
0	419	0	100.45
1	172	0	91.245
0	347	0	174.96
0	270	0	85.49
1	112.66	0	86.561667
1	96.57	0	118.497143
1	56.5	0	51.275
1	89.2	0	42.094
0	91.71	0	28.914286
1	83.5	0	92.215
1	272	0	85.235
1	21	0	57.28
0	348.5	0	157.1
0	161.25	0	54.98
0	249	0	87.98
0	151.5	0	58.8725
0	46	0	18.138571
1	48.28	0	65.344286
0	201	0	245
0	348	0	50.73
0	552	0	365.96
0	24.5	0	154
0	131	0	107.653333
0	112	0	77.65
1	118	0	179.443333
0	117	0	80.455
0	45	0	70.78
1	135.4	0	143.562
0	214.66	0	35.993333
1	139.5	0	64.73
0	506	0	127
1	41	0	99.142353
1	348	0	104.4
0	284	0	238.95
0	271	0	118.96
0	127.33	0	29.656667
1	347	0	432
1	54.91	0	58.645
1	269	0	595.49
1	40.83	0	54.284167
1	122.2	0	70.098
0	87	0	93.97
1	581	0	274.98
1	579	0	75.75
1	345	0	211
1	231	0	105.306667
1	38.07	0	60.838462
0	135	0	98
1	106.33	0	108.293333
1	345	0	491
0	51	0	54.889
0	505	0	187.98
0	345	0	191
1	94.16	1	137.25
0	86.66	0	60.643333
1	145.66	0	72.08
0	19.2	0	16.496
0	167.75	0	78.1075
1	28.45	0	69.585455
0	87.25	0	55.735
1	46.46	0	50.077333
0	75.8	0	49.596
1	160.33	0	51.826667
1	47.41	0	76.003333
0	77.16	0	78.701667
1	153	0	279.45
1	44.5	0	128.481667
1	115.8	0	67.206
0	637	0	101.46
1	340.5	0	69.25
0	215	0	235
1	72.55	0	53.742222
1	27.33	1	108.355833
1	24.57	1	69.898571
1	119.25	0	29.305
1	200.33	0	439.133333
1	355	0	470.68
0	331	0	76.745
0	529	0	80.25
0	127	0	116.23
1	138.6	0	57.138
1	85.83	0	37.905
0	461	0	102.5
0	108	0	156
1	215	0	168.3
1	362	0	250.16
1	173.5	0	289.78
0	60.66	0	69
0	579	0	117
1	19.54	0	30.275455
0	292	0	108.99
0	344	0	71.22
1	156	0	164.285
0	610	0	155.45
1	328	0	79
0	314	0	133.98
0	336	0	98
1	222	0	86.41
1	52.8	0	35.188
0	266.5	0	111.49
1	477	0	165.99
1	19.27	1	14.841389
1	454	0	323
0	140.5	0	67.49
1	52	0	74.172308
1	45.35	0	76.348571
1	39.5	0	86.5875
1	223.66	0	82.133333
1	254.5	0	186.995
0	50.71	0	160.927143
1	27.36	0	38.9276
1	64	0	145.8
1	24.2	0	51.924828
1	27.04	0	66.304
1	54.63	0	58.829091
0	161.5	0	53.985
0	73.4	0	153.536
0	153	0	131.495
1	349.5	0	67.5
0	260	0	91.47
1	17	0	70
0	145.25	0	36.9225
1	701	0	183.97
1	327	0	151.2
1	178	0	104.495
1	347.5	0	42
1	257	0	1331.945
1	51.53	0	78.426923
0	214	0	514.35
1	18.33	0	25.358333
1	84.5	0	62.17625
1	25.26	1	99.921579
1	43.69	0	67.451538
0	264	0	34
0	419	0	117
0	357	0	194
0	154.5	0	133
1	141.33	0	118.993333
1	116	0	116.666667
1	161.5	0	181.3
0	225.33	0	243.666667
0	265	0	121
1	660	0	110.99
1	349	0	239.4
0	18.3	0	17.456154
1	59.5	0	132.695
1	72	0	70.34
1	46	0	83.01
1	44.5	0	38.058571
0	551	0	68.99
1	313	0	120.56
1	173	0	54.68
0	170	0	56.995
1	480	0	79.97
1	54.5	0	30.528333
1	169	0	116.7475
1	35.68	0	226.369474
0	191	0	155
1	111	0	61.746667
0	219	0	144.935
1	101	0	400.705
0	247.5	0	44.355
1	122.5	0	74.245
1	29.06	0	126.758
0	328	0	107.98
0	97	0	104.16
1	48.81	0	84.081818
1	98.71	0	249.124286
0	357	0	118
1	46.75	0	121.18125
0	115	0	61.57
0	354	0	369.97
0	114.66	0	45.416667
1	73.55	0	166.986667
0	146.5	0	93.99
0	291	0	79.8
1	92.28	0	81.637143
1	58.08	0	108.023333
1	212.5	0	127.985
1	60.66	0	77.571667
0	253.5	0	73
1	62.54	0	253.699091
0	303.5	0	69.475
0	90.4	0	44.592
1	67.25	0	68.035
0	54.83	0	143.476667
0	43.42	1	33.427143
0	265.5	0	167.48
0	233	0	139.97
0	354	0	84
0	283	0	104.48
1	53	1	123.248
0	246	0	308.5
0	212	0	84.49
0	112.66	0	103.283333
1	53.53	0	48.650769
1	253	0	433.8
0	108.5	0	39
1	348	0	170.08
1	92.5	0	102.996667
0	42.42	0	17.878571
0	118	0	124.156667
1	19.5	1	107.57
1	102	0	58.416667
0	176	0	112.99
1	169.5	0	51.67
0	82.25	0	32.49
1	106	0	233.08
0	80	0	17.4925
1	336.5	0	110.235
0	108	0	57.993333
0	249	0	69.48
0	328	0	133.95
0	233	0	31.99
0	17	0	37.661786
0	206	0	102.495
0	245	0	113.49
0	141	0	343.45
1	109	1	305.07
1	187	0	419.4
0	290.5	0	80.495
0	45.2	0	50.749333
1	20	0	129.49
1	109.16	0	93.566667
0	610	0	93.99
1	55.16	0	50.158333
1	41.11	0	91.050588
0	603	0	194
1	226	0	170.613333
1	230.66	0	135.493333
1	62.27	0	55.421818
1	21.15	0	65.441875
1	103.33	0	162.976667
0	125.5	0	81.64
0	315.5	0	49.985
0	156.5	0	162.235
1	24.66	0	107.363333
1	69	0	188.05
1	224	0	112.323333
1	75.11	0	103.397778
1	20	0	284
1	73.33	0	65.322222
1	68.87	0	93.01875
1	112.83	0	38.746667
1	71.33	0	101.097778
1	48.9	0	75.527
1	43.36	0	53.906364
1	188.33	0	45.67
0	264	0	100.75
1	111.33	0	100.528333
0	137.6	0	33.746
0	114.2	0	85.99
1	58.33	0	342.81
1	121	0	173.09
1	139.8	0	71.182
0	105.33	0	33.496667
1	34.4	0	56.0955
1	75.33	0	92.103333
1	67.8	0	55.862
1	145	0	76.4975
0	141.5	0	106.975
1	133	1	140.42
1	29.5	0	179.22
0	486	0	235
1	178	0	195.995
1	30.23	0	55.228571
1	45.06	0	90.886
1	52.61	0	130.493846
1	56.5	1	184.643333
1	96	0	138.822857
1	646	0	139.95
0	131.5	0	72
0	315	0	172
0	322	0	15.5
1	94.42	0	115.044286
1	338.5	0	37.5
0	135.4	0	102.586
1	38	0	168.371111
0	138.2	0	55.504
1	42.25	0	63.67125
0	169.25	0	125.215
0	66	0	131.985
1	72.6	0	206.812
1	58.25	0	135.879167
1	46.3	0	146.383
1	115	0	237.025
1	17.8	0	778.720323
0	145.25	0	136.8725
0	28.83	0	49.29
1	47.5	0	144.37
0	239	0	105.95
1	40.17	0	40.846471
1	83.5	0	313.285
0	118.33	0	197.663333
1	83	0	302.38
1	44.57	0	58.737857
1	53.3	0	6.340769
0	452	0	616.9
1	42.85	0	33.438571
1	271	0	109.56
1	53.12	0	128.545
1	161.25	0	74.25
0	39.9	0	16.681818
1	58.5	0	62.7575
0	89.66	0	111.641667
1	163.5	0	55.495
1	262.5	0	138.98
1	41.87	0	43.039375
1	61.54	0	118.96
1	200.33	0	65.166667
1	139.33	0	70.65
1	19.46	0	71.940357
1	139.5	0	81.745
1	134.33	0	94.396667
1	48.28	0	16.920714
0	178.5	0	29.995
1	49	0	81.75
1	215.33	0	109.99
0	77.44	0	91.234444
1	65.7	1	141.384
1	132.66	0	112.16
1	120.5	0	84.96
1	71.33	0	160.026667
0	102.66	0	67.82
0	120.66	0	42.5
1	50.07	0	106.809286
0	245	0	86.49
1	104.33	0	287.496667
0	271.5	0	76
1	340	0	124.96
1	293	0	97.62
0	31.59	0	10.999091
1	183.66	0	108.33
0	500	0	79
0	374	0	49
1	204.66	0	126.31
1	213	0	145.8
0	93.66	0	135.323333
0	414	0	139.5
0	19.59	0	38.388148
1	552	0	80.75
1	47.33	0	119.86
1	34.95	0	60.392
0	131	0	172.98
1	248	0	163.8
1	364	0	338.98
1	33.61	1	12.421538
0	231	0	67.95
0	31.5	1	40.995
0	586	0	92
0	322	0	78
0	114.5	0	160.98
1	20	0	116.75
1	203.33	0	102
0	244	0	75
1	160	0	313.225
0	201	0	102
1	61.2	0	66.536
1	29.41	0	58.449412
0	166.33	0	33.32
0	91	0	77.646667
0	174.5	0	58.5
0	218.66	0	82.49
1	65	0	226.555
1	691	1	126.72
0	152.5	0	24.3625
0	123	0	56.71
0	135	0	75.97
1	544	1	220
0	118.5	0	63.985
0	460	0	175.99
1	13.83	0	100.65093
1	87	0	112.73
1	24.41	0	119.41
0	295	0	72.42
1	54.66	0	101.488333
1	317	0	354.6
1	14.48	0	217.5084
1	222.66	0	63.476667
0	58.5	0	49.49
0	330	0	79
0	33	0	77.4725
0	165	0	88.495
1	109	0	91.266667
1	72.66	0	72.152222
0	358	0	288.98
0	345	0	321
0	53.8	0	22.394
0	342	0	88
0	160.5	0	159.235
0	88.25	0	47.1225
0	248	0	104.49
1	49.4	0	191.082
1	62.75	0	85.26375
0	115	0	96.663333
0	210.33	0	183.176667
1	44.36	0	64.6
0	153.5	0	167.465
0	58.6	0	72.288
1	43.5	0	90.559375
1	629	0	49
0	544	0	68
0	103	0	121.7
0	160.5	0	60.37
0	116	0	155.996667
1	135.4	0	41.504
0	173	0	123.73
0	181	0	78
1	28.85	0	12.92
1	55.91	0	45.636667
0	141.66	0	60.666667
1	52.42	0	72.49
1	49.64	0	58.083571
0	79	0	41.74
1	43.53	0	34.601333
0	78.6	0	71.594
0	51.8	0	86.586
0	135	0	307
0	29.45	0	182.770455
0	130.8	0	184.492
1	97	0	108.641429
1	139.5	0	59.7475
0	85	0	26.85
1	6.1	0	30.111913
1	214.66	0	168.993333
1	43.55	0	81.712222
1	84.75	0	105.71375
1	47.69	0	81.607692
1	20	0	23.194
0	62.3	0	52.57
0	231	0	26.663333
1	343	0	401.4
1	51.41	0	37.5275
1	8.84	0	11.460385
1	68.12	0	35.28625
0	230	0	58
0	279.5	0	46.5
1	24.35	0	56.507857
0	146	0	123.61
1	208.66	0	133.22
0	209	0	129.99
1	10	0	41.66
0	334	0	158
1	42.87	0	139.56125
0	291	0	207
0	85	0	68.56
1	70	0	49.685
0	295	0	101.99
0	52	0	73.185
1	69.6	0	128.586
1	28.26	0	27.930667
1	181.33	0	76.99
1	108.83	0	132.145
0	216	0	358.98
1	72.6	0	107.414
1	21.42	1	158.699048
0	312	0	155.99
0	259	0	79.99
1	34.33	0	59.326667
0	37.33	0	125.44
1	8.65	0	44.984615
0	97.5	0	38.25
1	13	0	28.658
0	164	0	49.5
1	218.66	0	185.976667
1	133.33	0	40.473333
1	137.4	0	148.332
1	68.5	1	141.435
1	582	0	97.99
0	46.78	0	31.601429
0	104	0	89.5
1	153	0	150.746667
1	20	0	172.8
0	274.5	0	100.23
1	70.66	0	49.158333
1	135.4	0	137.744
1	675	0	334.99
1	35.63	0	38.488421
0	60.5	0	21.99
0	67	0	45.996667
0	51.23	0	161.017692
0	226	0	74
1	77.71	0	107.332857
0	309	0	557.95
0	130.2	0	54.192
1	27.64	0	91.0092
0	208	0	187
0	182.5	0	112.985
0	511	0	314.49
1	155.75	0	53.18
0	72.22	0	71.267778
1	336	0	255.6
0	212.33	0	96.666667
0	661	0	235.98
1	230	0	71.983333
0	80.5	0	76.985
0	154	0	69.985
0	355	0	88
0	277	0	69.98
0	630	0	15
0	117.75	0	69.24
0	322	0	98.98
0	96.5	0	51.03
1	96	0	46.42
0	292	0	148.74
0	75.16	0	17.08
1	67.37	0	36.5875
0	86.75	0	77.3225
0	315.5	0	64.485
0	216	0	51.32
1	482	0	126
0	285	0	104.94
0	189	0	106.245
0	468	0	241
0	54.25	0	70.99
1	172	0	293.24
0	364	0	87
0	319	0	49
1	76.75	0	65.9925
1	38.76	0	30.682941
1	252.5	0	180.5
0	339	0	77.99
0	314	0	118.48
1	57.5	0	26.515
0	48.75	0	63.465
0	87.25	0	24.6875
0	282	0	74.49
1	429	0	69
1	52	0	75.053333
1	697	0	344.69
0	41.54	0	63.719091
1	158	0	110.3725
0	69.25	0	46.11
1	214.66	0	126.823333
1	117.66	0	78.19
1	152.75	0	29.0725
1	188.33	0	44.566667
1	57.9	0	79.523636
1	78.12	0	119.83625
1	63.11	0	39.495556
0	187	0	164
0	271.5	0	153.5
0	59.4	0	55.782
0	141	0	63.235
1	61.8	0	34.942
1	49.92	0	68.294615
0	331	0	98
1	84.12	1	58.1075
1	154.25	0	112.42
0	166	0	84.57
1	45.13	0	129.433333
0	113	0	56.831667
1	162	0	184.235
1	183.33	0	115.643333
1	213.33	0	22.653333
0	317.5	0	37.495
1	26.7	0	43.933
0	210	0	74.99
1	53	0	74.5725
0	351	0	254
1	71.4	0	62.8
0	553	0	170.98
1	71.88	0	55.766667
1	84.71	0	82.411429
1	645	1	156.96
0	116.5	0	41
1	463	0	187.48
1	21.03	0	38.508077
0	240.5	0	140.715
1	19.4	0	93.2
1	98.71	0	52.554286
0	122.25	0	28.825
0	71.66	0	85
1	246	0	216.96
0	186.5	0	53.49
1	199	0	36
0	144	0	69
1	30.86	0	7.359333
0	475	0	74.24
1	27.15	0	170.673077
1	77	0	311.32
1	26.42	1	89.165
0	39.5	0	77.101875
0	323	0	131.99
0	99.5	0	133.25
0	145.5	0	147.25
0	105.83	0	27.323333
0	71.4	0	68.896
0	13.22	0	23.883019
1	25	0	66.585385
1	75.33	0	74.192222
0	267.5	0	114.745
1	178.5	0	126.25
1	31.63	0	66.333182
1	58	0	98.964167
1	17.58	0	107.032903
0	193.66	0	70.163333
0	240	0	194.96
0	99.75	0	64.62
1	227	0	67.47
1	189	0	88.073333
1	22.18	0	60.187273
0	88	0	57.99
0	102.5	0	109.395
1	22.95	0	42.285238
0	169.5	0	56.235
0	64.2	0	95.388
0	75.25	0	47.5
1	112.33	0	52.403333
0	161	0	50.485
1	99.5	0	307.59
1	189.33	0	22.583333
0	275.5	0	219.49
0	159.66	0	53.666667
1	138	0	244.225
0	59	0	81
0	334	0	138
1	283.5	0	232.74
1	14.83	1	92.375417
0	299	0	69.975
0	512	0	89.98
0	174.5	0	59.995
1	123.5	0	280.815
1	379	0	236.68
1	64	0	102.06
0	30.45	0	71.851818
0	56	0	40.382
1	79	0	88.2
0	46.2	0	55.786
0	50.28	0	83.542857
1	205.5	0	84.225
1	82.12	0	220.7075
0	150	0	351.5
0	124	0	55.8075
1	97	0	230.38
1	87.85	0	224.807143
0	178.5	0	96
0	306	0	181.2
1	40.31	0	87.394375
1	36.16	0	144.99
1	44.6	1	131.058
1	166.5	0	317.065
1	210.66	0	153.266667
0	127	1	60.663333
1	288	0	80.49
1	18.83	0	10.099167
0	135.5	0	34
1	38.37	0	56.9375
0	152	0	156.5
0	105.5	0	257.013333
1	101.33	0	146.7
1	31	0	123.256667
0	343.5	0	85.64
0	125.5	0	34.995
0	216	0	62.416667
1	29.91	0	73.683913
0	184.66	0	108.333333
1	160	0	374.85
1	92.33	0	43.573333
1	47.42	0	62.402857
1	207.66	0	35.32
1	169.5	0	88.905
0	228	0	137.65
0	103.5	0	47.485
0	190	0	69.973333
1	84.75	0	230.1275
0	94	0	47.11
0	222	0	40.975
1	35.5	0	106.915
0	229	0	98.656667
1	77.28	0	107.105714
1	457	0	116.5
1	6	0	182.961667
0	201	0	79
0	115	0	257.25
1	128.25	0	166.08
1	37.66	0	161.141667
1	83	0	83.5225
0	144.5	1	44.99
0	244	0	128.98
1	83	1	41.7
1	30.31	0	70.758636
1	71.77	0	134.584444
0	86.33	0	171.131667
0	64.55	0	131.037778
0	127	0	256.705
1	36.52	0	107.165789
0	110.66	0	59.316667
0	97.5	0	165.461667
0	176.33	0	46.993333
0	47	0	97
0	126.2	0	30.19
1	37.82	0	161.978235
1	99.85	0	78.592857
1	25.33	0	148.836667
0	45	0	121.21
1	218.5	0	39.495
1	38.47	1	115.747647
0	67	1	98.894
1	32.44	0	69.107778
0	102.33	0	73.653333
1	54.7	0	383.002
0	487	0	209.24
1	302.5	0	59.485
0	79.5	0	159.99875
1	58.36	0	66.980909
0	158.25	0	42.745
1	142.5	0	94.895
0	290.5	0	126.96
0	160	0	93.5
0	54.2	0	44.386
1	701	0	182
0	106	0	266.053333
0	132.5	0	133.97
0	256	0	78.49
1	36.36	0	78.887895
1	31.9	1	105.803
1	120	0	186.636667
1	31.33	0	67.575556
0	285	0	128.95
1	29	0	67.5
0	425	0	127.99
1	63.09	0	92.671818
0	239	0	106.005
1	310	0	40.73
0	136	0	338.27
1	165.5	0	17.4875
1	85.87	0	179.37875
0	100.5	0	91.485
0	130	0	100.375
1	37.5	0	108.995
0	265	0	125.96
1	33.85	0	107.741
1	45.8	0	56.618667
1	80.25	0	67.12375
1	99	0	42.91
1	122.66	0	170.653333
1	155.66	0	41.833333
1	137.75	0	223.4075
1	318	0	131.4
1	140	0	62.984
0	338.5	1	126.48
0	334	0	177
0	247	0	92.99
0	136	0	30.6225
1	57	0	65.94
1	25.23	0	100.045385
1	59.4	0	75.658
0	110.33	1	130.388333
0	82.5	1	192.965
1	60.87	1	239.96
0	151.5	0	34.2425
0	237.5	0	46.5
1	69.11	0	59.498889
1	81.42	0	68.128571
0	207.66	0	183.3
1	653	0	68
0	45.2	0	18.194
1	27	0	17.752381
1	171	0	170.97
0	316	0	104.96
1	131	0	38.682
0	73.66	0	95.826667
0	104.5	0	54.49
0	230.66	0	80.333333
0	167.5	0	82.495
1	362	0	96.3
1	80.16	0	75.058333
0	38.64	0	101.484118
0	261	0	85.5
1	38.61	0	51.856111
1	131.2	0	24.508
0	129.2	0	118.938
1	25.61	0	53.475714
1	93.25	0	95.8725
0	96	0	44.653333
1	61	0	44.69
1	196.33	0	25.66
0	106.2	0	34.54
0	340	0	134.985
0	243	0	94.99
0	579	0	104.99
1	74.44	0	92.575556
1	165.66	0	105.07
0	293	0	133.48
0	116.5	0	88.995
1	82.12	0	65.08625
1	131	0	275.216667
1	61	0	17.89
0	232.5	0	70
1	323	0	146.68
1	88	0	42.462857
0	67.37	0	80.68125
0	485	0	97.97
0	137	0	65.49
0	249	0	68.99
1	533	0	305.98
0	202	0	220
1	76.77	0	112.316667
1	678	0	255.6
0	36.92	0	141.553077
0	256	0	129.94
0	121.6	0	68.586
1	131.25	0	89.0025
1	84.8	0	118.656
1	232.66	0	244.15
1	74.33	0	67.19
1	140.2	0	170.876
0	127	0	24.49
0	125.8	0	96.794
0	111.5	1	74.99
0	93.66	0	34.986667
0	101	1	94.97
1	163.5	0	146.86
1	96	0	45.017143
1	47.76	0	40.327692
1	36.5	0	90.59
0	135	0	32.483333
1	96.71	0	93.952857
1	84.62	0	142.67625
